date,year,type,country,activity,sex,age,injury,fatal,time
Jun,2018,Unprovoked,USA,Others,F,57,"No injury to occupant, outrigger canoe and paddle damaged",No Fatal,Evening
Jun,2018,Unprovoked,USA,Others,F,11,Minor injury to left thigh,No Fatal,Afternoon
Jun,2018,Unprovoked,USA,Surfing,M,48,Injury to left lower leg from surfboard skeg,No Fatal,Morning
Jun,2018,Unprovoked,BRAZIL,Swimming,M,18,FATAL,Fatal,Afternoon
Apr,2018,Unprovoked,COSTA RICA,Others,M,30,"No injury, shark bit scuba gear",No Fatal,Morning
Apr,2018,Unprovoked,AUSTRALIA,Surfing,M,0,No injury,No Fatal,Morning
Apr,2018,Unprovoked,AUSTRALIA,Surfing,M,60,"No injury, knocked off board by shark",No Fatal,Morning
Apr,2018,Unprovoked,AUSTRALIA,Surfing,M,0,"No injury, shark struck his leg",No Fatal,Afternoon
Apr,2018,Unprovoked,MALDIVES,Fishing,M,32,5-inch cut to hand,No Fatal,Evening
Apr,2018,Unprovoked,SOUTH AFRICA,Others,M,33,"No injury, shark bit hole in ski",No Fatal,Morning
Apr,2018,Unprovoked,USA,Others,M,29,Lacerations to right lower leg,No Fatal,Evening
Apr,2018,Unprovoked,THAILAND,Swimming,M,54,Lacerations to foot and ankle,No Fatal,Evening
Apr,2018,Unprovoked,AUSTRALIA,Surfing,M,37,Lacerations to legs,No Fatal,Morning
Apr,2018,Unprovoked,BAHAMAS,Surfing,M,0,No Injury. Shark swam away with the surf board,No Fatal,Morning
Apr,2018,Unprovoked,BAHAMAS,Swimming,M,12,"2 puncture wounds to left foot, abrasion to right foot",No Fatal,Evening
Apr,2018,Unprovoked,SOUTH AFRICA,Surfing,M,19,Lacerations to left knee & lower leg,No Fatal,Afternoon
Feb,2018,Unprovoked,SOUTH AFRICA,Diving,M,38, The shark & man simply collided; neither were injured,No Fatal,Evening
Feb,2018,Unprovoked,AUSTRALIA,Swimming,F,55,Laceratons to right leg & foot,No Fatal,Evening
