date,year,type,country,area,activity,sex,age,injury,fatal,time
Jun,2018,Unprovoked,USA,California,Paddling,F,57,"No injury to occupant, outrigger canoe and paddle damaged",N,18h00
Jun,2018,Unprovoked,USA,Georgia,Standing,F,11,Minor injury to left thigh,N,14h00  -15h00
Jun,2018,Unprovoked,USA,Hawaii,Surfing,M,48,Injury to left lower leg from surfboard skeg,N,07h45
Jun,2018,Unprovoked,BRAZIL,Pernambuco,Swimming,M,18,FATAL,Y,Late afternoon
Apr,2018,Unprovoked,COSTA RICA,Cocos Island,Scuba diving,M,30,"No injury, shark bit scuba gear",N,10h40
Apr,2018,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,0,No injury,N,07h00
Apr,2018,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,60,"No injury, knocked off board by shark",N,09h30
Apr,2018,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,0,"No injury, shark struck his leg",N,Afternoon
Apr,2018,Unprovoked,MALDIVES,Alifu Alifu Atoll,Fishing,M,32,5-inch cut to hand,N,21h50
Apr,2018,Unprovoked,SOUTH AFRICA,Western Cape Province,Paddle-skiing,M,33,"No injury, shark bit hole in ski",N,09h40
Apr,2018,Unprovoked,USA,Hawaii,Body boarding,M,29,Lacerations to right lower leg,N,
Apr,2018,Unprovoked,THAILAND,Hua Hin,Swimming,M,54,Lacerations to foot and ankle,N,
Apr,2018,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,37,Lacerations to legs,N,08h00
Apr,2018,Unprovoked,BAHAMAS,New Providence,Surfing,M,0,No Injury. Shark swam away with the surf board,N,09h30
Apr,2018,Unprovoked,BAHAMAS,,Swimming,M,12,"2 puncture wounds to left foot, abrasion to right foot",N,18h00
Apr,2018,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,19,Lacerations to left knee & lower leg,N,15h00
Feb,2018,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Scuba Diving,M,38, The shark & man simply collided; neither were injured,N,
Feb,2018,Unprovoked,AUSTRALIA,New South Wales,Swimming,F,55,Laceratons to right leg & foot,N,"19h00, Dusk"
Feb,2018,Provoked,AUSTRALIA,Victoria,Kayak fishing for sharks,M,34,"Shark rammed kayak, no injury to occupant  PROVOKED INCIDENT",N,Night
Feb,2018,Unprovoked,AUSTRALIA,New South Wales,Walking,M,35,Puncture wounds to leff foot & lower leg,N,16h00
Feb,2018,Unprovoked,AUSTRALIA,Queensland,Swimming,F,0,"Collision / No injury, no attack",N,18h00
Feb,2018,Unprovoked,BRAZIL,"Boi Island, Victoria",Cleaning fish,F,46,Lacerations to 4 toes of right foot,N,
Feb,2018,Unprovoked,ECUADOR,Galapagos Islands,Snorkeling,M,45,Injuries to right foot,N,
Feb,2018,Unprovoked,AUSTRALIA,Western Australia,Spearfishing,M,14,"No injury no attack. This is considerd an ""encounter""",N,
Jan,2018,Unprovoked,AUSTRALIA,Western Australia,,M,18,Injuries to right leg,N,08h00
Jan,2018,Unprovoked,NEW CALEDONIA,,Spearfishing,M,40,Injuries to abdomen and arm,N,15h30
Jan,2018,Unprovoked,AUSTRALIA,Queensland,Diving,M,0,Severe laceration to left forearm,N,15h01
Jan,2018,Unprovoked,AUSTRALIA,New South Wales,Free diving,M,28,"No injury, shark took his swimfin",N,
Jan,2018,Unprovoked,BRAZIL,Fernando de Noronha,Surfing,M,20,Minor injury to left forearm,N,Late afternoon
Dec,2017,Unprovoked,USA,Hawaii,Surfing,F,54,Severe lacerations to left thigh & knee,N,18h00
Dec,2017,Unprovoked,USA,California,Surfing,F,35,Foot bitten,N,12h00
Dec,2017,Provoked,MALAYSIA,Sepang,Fishing / Wading,M,24,"Minor injury to thigh, PROVOKED INCIDENT",N,
Nov,2017,Unprovoked,COSTA RICA,Cocos Island,Scuba Diving,M,26,Serious injury to leg,N,
Nov,2017,Unprovoked,COSTA RICA,Cocos Island,Scuba diving,F,49,FATAL,Y,
Nov,2017,Unprovoked,USA,California,Spearfishing,M,25,Right leg bitten,N,13h45
Nov,2017,Unprovoked,USA,Florida,Surfing,F,14,Heel bitten,N,Late afternoon
Nov,2017,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,25,Puncture wounds to left shoulder,N,16h00
Nov,2017,Unprovoked,CUBA,Holquin Province,Night bathing,M,22,FATAL,Y,23h30
Oct,2017,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,31,Minor injury to foot,N,09h00
Oct,2017,Unprovoked,USA,Florida,Surfing ,M,17,Lacerations to left foot,N,17h00
Oct,2017,Unprovoked,USA,Florida,Swimming,F,60,Severe lacerations to left hand & wrist,N,08h00
Oct,2017,Unprovoked,AUSTRALIA,South Australia,Kayaking / Fishing,F,15,Minor injuries,N,Afternoon
Oct,2017,Unprovoked,NEW ZEALAND,North Island,Kayaking,M,0,"No injury, shark shook kayak x3 ",N,09h00
Oct,2017,Unprovoked,USA,Florida,Swimming,M,0,Puncture wounds & lacerations to foot,N,14h30
Oct,2017,Unprovoked,USA,Hawaii,Surfing,M,54,Lacerations to left hand,N,18h30
Oct,2017,Unprovoked,USA,Hawaii,Snorkeling,F,40,Abrasions,N,12h30
Sep,2017,Unprovoked,USA,Florida,Surfing,M,0,Lacerations to lower left leg and foot,N,Morning
Sep,2017,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,0,"No injury, board damaged by shark",N,18h00
Sep,2017,Unprovoked,USA,New York,Surfing,M,33,"Lacerations to right ankle, foot & toe",,15h30
Sep,2017,Unprovoked,USA,Florida,Surfing,M,0,Laceration to upper arm,N,14h00
Sep,2017,Unprovoked,SPAIN,Canary Islands,Body surfing,M,13,Lacerations to right foot,N,
Sep,2017,Unprovoked,USA,Florida,Surfing,M,28,Lacerations to left foot,N,16h30
